GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unicornt-store-backend,com.unicornt.store.application.usecase.ordering,GetOrderUseCase,0,23,0,0,0,5,0,3,0,3
unicornt-store-backend,com.unicornt.store.application.usecase.ordering,ListOrdersUseCase,0,11,0,0,0,4,0,2,0,2
unicornt-store-backend,com.unicornt.store.application.usecase.ordering,PlaceOrderUseCase,0,99,0,6,0,18,0,5,0,2
unicornt-store-backend,com.unicornt.store.application.usecase.ordering,OrderConfirmation,0,12,0,0,0,1,0,1,0,1
unicornt-store-backend,com.unicornt.store.infrastructure.web.error,RestAccessDeniedHandler,0,29,0,0,0,9,0,2,0,2
unicornt-store-backend,com.unicornt.store.infrastructure.web.error,RestAuthEntryPoint,0,29,0,0,0,9,0,2,0,2
unicornt-store-backend,com.unicornt.store.infrastructure.web.error,GlobalExceptionHandler,1,176,1,3,0,30,1,18,0,17
unicornt-store-backend,com.unicornt.store.infrastructure.web.mapper,AuthRestMapper,0,19,0,0,0,2,0,1,0,1
unicornt-store-backend,com.unicornt.store.infrastructure.web.mapper,CategoryRestMapper,0,11,0,0,0,1,0,1,0,1
unicornt-store-backend,com.unicornt.store.infrastructure.web.mapper,CartRestMapper,0,52,0,0,0,14,0,4,0,4
unicornt-store-backend,com.unicornt.store.infrastructure.web.mapper,ProductRestMapper,33,76,6,2,4,22,5,3,1,3
unicornt-store-backend,com.unicornt.store.infrastructure.web.mapper,OrderRestMapper,0,78,0,2,0,17,0,5,0,4
unicornt-store-backend,com.unicornt.store.infrastructure.persistence,EntityIds,0,14,0,4,0,1,0,3,0,1
unicornt-store-backend,com.unicornt.store.domain.valueobject,Money,0,83,0,10,0,15,0,14,0,9
unicornt-store-backend,com.unicornt.store.domain.valueobject,Quantity,0,60,0,6,0,11,0,10,0,7
unicornt-store-backend,com.unicornt.store.domain.model,OrderStatus,0,15,0,0,0,3,0,1,0,1
unicornt-store-backend,com.unicornt.store.domain.model,ProductType,0,22,0,4,0,4,0,3,0,1
unicornt-store-backend,com.unicornt.store.domain.model,ShippingAddress,0,69,0,10,0,11,0,8,0,3
unicornt-store-backend,com.unicornt.store.domain.model,Product,0,301,0,40,0,47,0,38,0,18
unicornt-store-backend,com.unicornt.store.domain.model,Cart,0,196,0,22,0,37,0,27,0,16
unicornt-store-backend,com.unicornt.store.domain.model,Category,0,152,0,22,0,28,0,20,0,9
unicornt-store-backend,com.unicornt.store.domain.model,OrderItem,0,57,0,10,0,12,0,7,0,2
unicornt-store-backend,com.unicornt.store.domain.model,CartItem,0,96,0,8,0,15,0,13,0,9
unicornt-store-backend,com.unicornt.store.domain.model,User,0,195,0,24,0,42,0,25,0,13
unicornt-store-backend,com.unicornt.store.domain.model,Order,0,105,0,6,0,29,0,12,0,9
unicornt-store-backend,com.unicornt.store.domain.repository,PageResult,0,33,0,2,0,4,0,3,0,2
unicornt-store-backend,com.unicornt.store.application.usecase.cart,AddCartItemUseCase,0,56,0,0,0,11,0,3,0,3
unicornt-store-backend,com.unicornt.store.application.usecase.cart,AddCartItemUseCase.Result,0,9,0,0,0,1,0,1,0,1
unicornt-store-backend,com.unicornt.store.application.usecase.cart,UpdateCartItemUseCase,0,38,0,2,0,9,0,3,0,2
unicornt-store-backend,com.unicornt.store.application.usecase.cart,ClearCartUseCase,0,11,0,0,0,5,0,2,0,2
unicornt-store-backend,com.unicornt.store.application.usecase.cart,PricedCart,0,87,0,4,0,18,0,4,0,2
unicornt-store-backend,com.unicornt.store.application.usecase.cart,RemoveCartItemUseCase,0,28,0,2,0,8,0,3,0,2
